thread_id,sample_idx,n,total,k,top_sum,expected,chi2,df,p_value,top_freq
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,67,2.09375,1.298507462686566,31,0.9999999999999999,3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,67,2.09375,2.2537313432835875,31,0.9999999999995733,4|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,67,2.09375,1.298507462686566,31,0.9999999999999999,3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,67,2.09375,1.298507462686566,31,0.9999999999999999,3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,68,2.125,1.647058823529411,31,0.9999999999999956,3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,67,2.09375,1.298507462686566,31,0.9999999999999999,3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,67,2.09375,1.298507462686566,31,0.9999999999999999,3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,67,2.09375,1.298507462686566,31,0.9999999999999999,3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,68,2.125,1.647058823529411,31,0.9999999999999956,3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,1.8787878787878804,31,0.9999999999999697,4|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,67,2.09375,1.298507462686566,31,0.9999999999999999,3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,67,2.09375,1.298507462686566,31,0.9999999999999999,3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,68,2.125,1.647058823529411,31,0.9999999999999956,3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,67,2.09375,2.2537313432835875,31,0.9999999999995733,4|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,67,2.09375,1.298507462686566,31,0.9999999999999999,3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,69,2.15625,1.9565217391304353,31,0.9999999999999453,3|3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,68,2.125,1.647058823529411,31,0.9999999999999956,3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,68,2.125,1.647058823529411,31,0.9999999999999956,3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,68,2.125,1.647058823529411,31,0.9999999999999956,3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,67,2.09375,1.298507462686566,31,0.9999999999999999,3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,64,2,0,31,1,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,67,2.09375,1.298507462686566,31,0.9999999999999999,3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,65,2.03125,0.4769230769230769,31,1,3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
0,1,131072,131070,32,66,2.0625,0.9090909090909107,31,1,3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
