seed,base_entropy,final_entropy,improvement,weight_mag
0,0.70758056640625,0.7257080078125,0.01812744140625,0.039372071623802185
1,0.69940185546875,0.7252197265625,0.02581787109375,0.04663419723510742
2,0.673095703125,0.7264404296875,0.0533447265625,0.04293147847056389
3,0.62628173828125,0.72406005859375,0.0977783203125,0.044578906148672104
4,0.716064453125,0.72821044921875,0.01214599609375,0.04196606203913689
5,0.68243408203125,0.72113037109375,0.0386962890625,0.04569283127784729
6,0.62554931640625,0.72991943359375,0.1043701171875,0.04672558233141899
7,0.6781005859375,0.7286376953125,0.050537109375,0.04801148176193237
8,0.60052490234375,0.72393798828125,0.1234130859375,0.04078344255685806
9,0.6558837890625,0.72247314453125,0.06658935546875,0.048715874552726746
10,0.67254638671875,0.72119140625,0.04864501953125,0.050111543387174606
11,0.701416015625,0.7232666015625,0.0218505859375,0.04397052526473999
12,0.7154541015625,0.73126220703125,0.01580810546875,0.04197785258293152
13,0.7073974609375,0.7236328125,0.0162353515625,0.04894433170557022
14,0.52069091796875,0.7205810546875,0.19989013671875,0.050179749727249146
15,0.50250244140625,0.71502685546875,0.2125244140625,0.03713758662343025
16,0.43341064453125,0.58721923828125,0.15380859375,0.04774923622608185
17,0.47625732421875,0.71551513671875,0.2392578125,0.05049751326441765
18,0.6082763671875,0.7281494140625,0.119873046875,0.04873746633529663
19,0.45465087890625,0.6568603515625,0.20220947265625,0.04650593921542168
20,0.69775390625,0.72540283203125,0.02764892578125,0.03860761970281601
21,0.53045654296875,0.720947265625,0.19049072265625,0.042621344327926636
22,0.51251220703125,0.71661376953125,0.2041015625,0.04368187487125397
23,0.70782470703125,0.7218017578125,0.01397705078125,0.04058511182665825
24,0.69757080078125,0.7218017578125,0.02423095703125,0.03941061720252037
25,0.52294921875,0.7249755859375,0.2020263671875,0.04537034034729004
26,0.6998291015625,0.7281494140625,0.0283203125,0.046429120004177094
27,0.69677734375,0.7269287109375,0.0301513671875,0.039802566170692444
28,0.72186279296875,0.723388671875,0.00152587890625,0.04020315036177635
29,0.5262451171875,0.72174072265625,0.19549560546875,0.04999397322535515
30,0.7144775390625,0.72796630859375,0.01348876953125,0.043400801718235016
31,0.5185546875,0.71429443359375,0.19573974609375,0.043122466653585434
32,0.69580078125,0.73419189453125,0.03839111328125,0.03909814730286598
33,0.54498291015625,0.712158203125,0.16717529296875,0.04492074251174927
34,0.7222900390625,0.7254638671875,0.003173828125,0.03730526566505432
35,0.7156982421875,0.72735595703125,0.01165771484375,0.05078084394335747
36,0.67840576171875,0.72625732421875,0.0478515625,0.04900282621383667
37,0.6998291015625,0.72833251953125,0.02850341796875,0.04103117436170578
38,0.6959228515625,0.7266845703125,0.03076171875,0.04994194954633713
39,0.677490234375,0.72784423828125,0.05035400390625,0.049674712121486664
40,0.51605224609375,0.72406005859375,0.2080078125,0.04934955760836601
41,0.55169677734375,0.7237548828125,0.17205810546875,0.04556582495570183
42,0.50848388671875,0.71044921875,0.20196533203125,0.0491023063659668
43,0.60693359375,0.72552490234375,0.11859130859375,0.050047051161527634
44,0.515869140625,0.722412109375,0.20654296875,0.04610848426818848
45,0.70465087890625,0.72698974609375,0.0223388671875,0.04093291610479355
46,0.53179931640625,0.7220458984375,0.19024658203125,0.04729124903678894
47,0.71856689453125,0.72808837890625,0.009521484375,0.03592634201049805
48,0.4735107421875,0.659912109375,0.1864013671875,0.04435987398028374
49,0.64764404296875,0.7276611328125,0.08001708984375,0.049553193151950836
50,0.61468505859375,0.73095703125,0.11627197265625,0.047891076654195786
51,0.4522705078125,0.6514892578125,0.19921875,0.04505826160311699
52,0.61865234375,0.7275390625,0.10888671875,0.04519553482532501
53,0.53485107421875,0.728271484375,0.19342041015625,0.047848232090473175
54,0.64910888671875,0.73382568359375,0.084716796875,0.04936743527650833
55,0.67327880859375,0.7252197265625,0.05194091796875,0.04899655282497406
56,0.71441650390625,0.723388671875,0.00897216796875,0.03826901316642761
57,0.7130126953125,0.72369384765625,0.01068115234375,0.050377052277326584
58,0.7017822265625,0.72723388671875,0.02545166015625,0.04095876216888428
59,0.60504150390625,0.72821044921875,0.1231689453125,0.04981324076652527
60,0.727783203125,0.727783203125,0.0,0.04006478935480118
61,0.70361328125,0.72540283203125,0.02178955078125,0.041219405829906464
62,0.64154052734375,0.72186279296875,0.080322265625,0.03599904477596283
63,0.5364990234375,0.7198486328125,0.183349609375,0.03908117115497589
64,0.7083740234375,0.72857666015625,0.02020263671875,0.03818434476852417
65,0.72418212890625,0.732666015625,0.00848388671875,0.038062840700149536
66,0.48095703125,0.720703125,0.23974609375,0.04911648482084274
67,0.607421875,0.722900390625,0.115478515625,0.03835899755358696
68,0.66473388671875,0.72735595703125,0.0626220703125,0.03825439512729645
69,0.6693115234375,0.71893310546875,0.04962158203125,0.048567742109298706
70,0.7060546875,0.72528076171875,0.01922607421875,0.04539759084582329
71,0.65869140625,0.7213134765625,0.0626220703125,0.043889518827199936
72,0.69268798828125,0.72344970703125,0.03076171875,0.037694670259952545
73,0.5565185546875,0.72808837890625,0.17156982421875,0.05012951418757439
74,0.56939697265625,0.72637939453125,0.156982421875,0.03925597667694092
75,0.70574951171875,0.7293701171875,0.02362060546875,0.03804797679185867
76,0.67791748046875,0.7294921875,0.05157470703125,0.04588611051440239
77,0.66522216796875,0.7279052734375,0.06268310546875,0.0440945029258728
78,0.71185302734375,0.72607421875,0.01422119140625,0.0413132980465889
79,0.5853271484375,0.72265625,0.1373291015625,0.04422594606876373
80,0.44677734375,0.67913818359375,0.23236083984375,0.044867031276226044
81,0.542724609375,0.7183837890625,0.1756591796875,0.05029502511024475
82,0.654052734375,0.7315673828125,0.0775146484375,0.0390065535902977
83,0.70068359375,0.73089599609375,0.03021240234375,0.04648490995168686
84,0.65484619140625,0.7158203125,0.06097412109375,0.04484335705637932
85,0.71087646484375,0.726318359375,0.01544189453125,0.042884498834609985
86,0.67755126953125,0.72515869140625,0.047607421875,0.0384272038936615
87,0.63177490234375,0.72735595703125,0.0955810546875,0.042177848517894745
88,0.5679931640625,0.72027587890625,0.15228271484375,0.04429038614034653
89,0.71527099609375,0.7288818359375,0.01361083984375,0.04291316866874695
90,0.71697998046875,0.72344970703125,0.0064697265625,0.037704870104789734
91,0.72320556640625,0.7298583984375,0.00665283203125,0.04174907132983208
92,0.62115478515625,0.7225341796875,0.10137939453125,0.04038793221116066
93,0.59185791015625,0.724853515625,0.13299560546875,0.037237413227558136
94,0.6973876953125,0.72711181640625,0.02972412109375,0.04434698820114136
95,0.6968994140625,0.72064208984375,0.02374267578125,0.0489744208753109
96,0.64239501953125,0.7261962890625,0.08380126953125,0.044131334871053696
97,0.649169921875,0.72149658203125,0.07232666015625,0.0450594387948513
98,0.5384521484375,0.7279052734375,0.189453125,0.044099681079387665
99,0.5662841796875,0.7266845703125,0.160400390625,0.04750710725784302
